Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.98611076
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.887365759999994
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.269535256000005
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.052779992
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.296075096
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.029847436000004
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.698299404
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.447769788
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.854290856
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.28978986
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.074243671999994
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01296026
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.32693164
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.813781648
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.908319811999995
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.358047983999995
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.141962252
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.563252031999994
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.620648416
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.836714203999996
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.23748958
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06342182
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.207822168
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.516697443999995
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.300631656
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15137506
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.1243856
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.427515183999994
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.60376124
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.260122448
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.908319811999995
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.719503284
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.131120456
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69225402399999
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.407950056000004
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.079769451999997
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.721921436
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.229026048
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.251958603999995
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.45930106
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.698299404
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,38.995383608
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.104130996
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.542997428
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.076402024
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.049192651999999
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.759063216
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.258003984
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.823194456
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.779317819999996
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.931941843999994
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.116911232
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.185149411999994
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.589312159999999
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.638264955999999
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.934619796
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.131420144
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.94882902
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.019005639999996
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.378282643999995
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.732763231999996
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.86640156
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.655112243999994
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.695621452
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.064311264
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.698039603999995
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.275580636
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.856968808
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.98818916
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.39795764
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.79941252
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.398217439999996
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3009114
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,28.99936056
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.79707432
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.1964508
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.398217439999996
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.096147
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.2996124
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.398217439999996
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2003478
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.09966436
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3011712
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.296095039999997
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.599464479999998
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3011712
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.40055564
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3011712
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.300132
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.59634688
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3011712
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.0971862
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.20178676
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.79577532
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.20100736
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.80163088
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.69846928
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.59934464
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.896079119999996
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.20100736
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.90127512
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.89815752
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.20100736
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.398217439999996
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.09628696
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.89581932
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.80085148
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.09810556
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.89581932
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,37.997022359999995
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.89581932
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.095767359999996
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09498796
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.89749796
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.101223159999996
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09446836
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.79825348
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.2946762
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,61.797733879999996
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.69561148
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.29949256
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.89985628
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.2946762
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.69717028
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.3991368
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.2946762
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.495923239999996
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.4994406
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.29871315999999
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.69782984
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.20022796
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.29871315999999
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.69964844
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.29871315999999
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,65.99664272
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.4978818
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.29871315999999
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.89737812
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.3973182
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.90037588
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.30053176
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.90037588
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,60.19814956
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,72.29845336
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.29923276
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.30053176
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.19944856
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.798513279999995
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.30053176
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,66.10006412
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.69808963999999
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.19984832
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.896079119999996
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99482412
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.69860924
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.40005615999999
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89478012
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.90037588
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.59648684
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.19685056
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.69990824
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5009994
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,74.19451236
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,70.69886903999999
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.19685056
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.59882504
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.19840936
