country,x,y
Afghanistan,70.0,85.0
Albania,-23.0,108.0
Algeria,-65.0,62.0
Andorra,-61.0,113.0
Angola,-26.0,-70.0
Antigua and Barbuda,-202.0,25.0
Argentina,-207.0,-146.0
Armenia,24.0,112.0
Australia,219.0,-115.0
Austria,-26.0,135.0
Azerbaijan,21.0,123.0
The Bahamas,-207.0,29.0
Bahrain,40.0,64.0
Bangladesh,129.0,51.0
Barbados,-201.0,22.0
Belarus,-9.0,152.0
Belgium,-55.0,140.0
Belize,-260.0,31.0
Benin,-62.0,7.0
Bhutan,127.0,64.0
Bolivia,-207.0,-89.0
Bosnia and Herzegovina,-36.0,131.0
Botswana,-16.0,-105.0
Brazil,-186.0,-57.0
Brunei,190.0,-12.0
Bulgaria,-14.0,115.0
Burkina Faso,-69.0,14.0
Burundi,11.0,-48.0
Cabo Verde,-126.0,22.0
Cambodia,-231.0,-18.0
Cameroon,-41.0,-14.0
Canada,-272.0,175.0
Central African Republic,-21.0,-3.0
Chad,-26.0,35.0
Chile,-217.0,-109.0
China,145.0,91.0
Colombia,-230.0,-19.0
Comoros,31.0,-69.0
Democratic Republic of the Congo,-14.0,-39.0
Republic of the Congo,-33.0,-30.0
Costa Rica,-254.0,7.0
Côte d’Ivoire,-82.0,-3.0
Croatia,-34.0,127.0
Cuba,-242.0,47.0
Cyprus,-16.0,92.0
Czech Republic,31.0,-69.0
Denmark,-47.0,162.0
Djibouti,18.0,25.0
Dominica,-202.0,26.0
Dominican Republic,-220.0,35.0
East Timor (Timor-Leste),209.0,-58.0
Ecuador,-242.0,-34.0
Egypt,-2.0,63.0
El Salvador,-263.0,18.0
Equatorial Guinea,-44.0,-25.0
Eritrea,26.0,11.0
Estonia,-14.0,164.0
Eswatini,0.0,-121.0
Ethiopia,21.0,2.0
Fiji,319.0,-91.0
Finland,-15.0,185.0
France,-61.0,129.0
Gabon,-44.0,-33.0
The Gambia,-100.0,21.0
Georgia,22.0,114.0
Germany,-45.0,145.0
Ghana,-68.0,-1.0
Greece,-21.0,105.0
Grenada,-199.0,24.0
Guatemala,-266.0,22.0
Guinea,-101.0,5.0
Guinea-Bissau,-99.0,5.0
Guyana-198.0,-8.0
Haiti,-226.0,37.0
Honduras,-256.0,21.0
