States,x,y
Andhra Pradesh,-73,-192
Arunachal Pradesh,285,127
Assam,240,72
Bihar,85,57
Chhattisgarh,-1,-28
Goa,-182,-184
Gujarat,-249,-13
Haryana,-132,139
Himachal Pradesh,-107,211
Jharkhand,55,8
Karnataka,-152,-205
Kerala,-129,-292
Madhya Pradesh,-96,-6
Maharashtra,-157,-89
Manipur,253,31
Meghalaya,193,53
Mizoram,228,-3
Nagaland,264,67
Odisha,55,-65
Punjab,-153,180
Rajasthan,-194,75
Sikkim,132,104
Tamil Nadu,-87,-280
Tripura,203,7
Uttar Pradesh,-34,88
Uttarakhand,-75,170
West Bengal,123,-14
Telengana,-71,-135
Jammu And Kashmir,-137,278
