Song Name,Song Link
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),https://open.spotify.com/track/7l2tmgUhV7Y2aJHjiszifg
Love Story (Taylor’s Version),https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
willow,https://open.spotify.com/track/0lx2cLdOt3piJbcaXIV74f
Blank Space,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
champagne problems,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
cardigan,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
Shake It Off,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD
Wildest Dreams,https://open.spotify.com/track/3fVnlF4pGqWI9flVENcT28
gold rush,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq
Delicate,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),https://open.spotify.com/track/5pcjystBtalYeqaiXCcgEY
I Knew You Were Trouble.,https://open.spotify.com/track/6FB3v4YcR57y4tXFcdxI1E
We Are Never Ever Getting Back Together,https://open.spotify.com/track/0VwNdo84DaVYLIkbVO86ND
the 1,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8
exile (feat. Bon Iver),https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
Love Story (Taylor's Version) - Elvira Remix,https://open.spotify.com/track/5RaBeejGtdPEszYEKYECs2
We Were Happy (Taylor’s Version) (From The Vault),https://open.spotify.com/track/34V9RiEPe8MNdU32qJsJa1
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),https://open.spotify.com/track/7eResoqEJJAVTkQYSqvO3P
You Need To Calm Down,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
Cruel Summer,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
You Belong With Me (Taylor’s Version),https://open.spotify.com/track/4P7LVHDbzn7aI6wWRh5AHc
All Too Well,https://open.spotify.com/track/6GNRkaWUB0Lwc19SdkTgx8
"no body, no crime (feat. HAIM)",https://open.spotify.com/track/3RaT22zZsxVYxxKR7TAaYF
august,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K
‘tis the damn season,https://open.spotify.com/track/7dW84mWkdWE5a6lFWxJCBG
long story short,https://open.spotify.com/track/2o2sgVJIgFXk8GQjWTgI6U
Don’t You (Taylor’s Version) (From The Vault),https://open.spotify.com/track/4uuEGH5SVuzkkSFjo2DEiY
Bye Bye Baby (Taylor’s Version) (From The Vault),https://open.spotify.com/track/4qUijfYU8EoIWiY6oSyrgT
Bad Blood,https://open.spotify.com/track/0TvQLMecTE8utzoNmvXRbK
22,https://open.spotify.com/track/6ce41JVa6KFaryfmC2bu2W
